日産自動車,7201.T,509.8,496.2,0,0,0,-13.6,0
いすゞ自動車,7202.T,1650.0,1681.7,0,1,0,31.7,0
トヨタ自動車,7203.T,1913.0,1866.9,0,0,0,-46.1,0
日野自動車,7205.T,563.0,544.4,0,0,0,-18.6,0
三菱自動車工業,7211.T,534.0,537.1,0,1,0,3.1,0
マツダ,7261.T,1151.0,1122.2,0,0,0,-28.8,0
本田技研工業,7267.T,3394.0,3360.4,0,0,0,-33.6,0
スズキ,7269.T,4819.0,4802.6,0,0,0,-16.4,0
SUBARU,7270.T,2216.0,2266.8,0,1,0,50.8,0
ヤマハ発動機,7272.T,3415.0,3358.3,0,0,0,-56.7,0
ニコン,7731.T,1252.0,1278.1,0,1,0,26.1,0
オリンパス,7733.T,2342.0,2379.9,0,1,0,37.9,0
SCREENホールディングス,7735.T,10460.0,10333.6,0,0,0,-126.4,0
HOYA,7741.T,13710.0,13493.7,0,0,0,-216.3,0
キヤノン,7751.T,2910.5,2926.3,0,1,0,15.8,0
リコー,7752.T,1023.0,1044.7,0,1,0,21.7,0
シチズン時計,7762.T,784.0,613.3,0,0,0,-170.7,0
バンダイナムコホールディングス,7832.T,8665.0,8598.7,0,0,0,-66.3,0
凸版印刷,7911.T,2379.0,2407.3,0,1,0,28.3,0
大日本印刷,7912.T,3635.0,2955.7,0,0,0,-679.3,0
ヤマハ,7951.T,5000.0,5073.8,0,1,0,73.8,0
任天堂,7974.T,5498.0,5602.6,0,1,0,104.6,0
伊藤忠商事,8001.T,4150.0,4165.1,0,1,0,15.1,0
丸紅,8002.T,1749.5,1567.4,0,0,0,-182.1,0
豊田通商,8015.T,5570.0,5250.5,0,0,0,-319.5,0
三井物産,8031.T,3932.0,3908.1,0,0,0,-23.9,0
東京エレクトロン,8035.T,46990.0,46035.1,0,0,0,-954.9,0
住友商事,8053.T,2356.0,2317.7,0,0,0,-38.3,0
三菱商事,8058.T,4637.0,4583.4,0,0,0,-53.6,0
高島屋,8233.T,1841.0,1844.7,0,1,0,3.7,0
丸井グループ,8252.T,2054.0,2120.0,0,1,0,66.0,0
クレディセゾン,8253.T,1787.0,1745.8,0,0,0,-41.2,0
イオン,8267.T,2631.5,2616.7,0,0,0,-14.8,0
あおぞら銀行,8304.T,2630.0,2629.5,0,0,0,-0.5,0
三菱UFJフィナンシャル・グループ,8306.T,974.9,936.7,0,0,0,-38.2,0
りそなホールディングス,8308.T,745.0,718.9,0,0,0,-26.1,0
三井住友トラスト・ホールディングス,8309.T,4876.0,4736.4,0,0,0,-139.6,0
三井住友フィナンシャルグループ,8316.T,5916.0,5632.0,0,0,0,-284.0,0
千葉銀行,8331.T,981.0,975.9,0,0,0,-5.1,0
ふくおかフィナンシャルグループ,8354.T,3045.0,2990.8,0,0,0,-54.2,0
みずほフィナンシャルグループ,8411.T,2141.0,2021.2,0,0,0,-119.8,0
オリックス,8591.T,2352.5,2216.3,0,0,0,-136.2,0
大和証券グループ本社,8601.T,628.0,625.9,0,0,0,-2.1,0
野村ホールディングス,8604.T,553.0,524.4,0,0,0,-28.6,0
松井証券,8628.T,796.0,786.0,0,0,0,-10.0,0
SOMPOホールディングス,8630.T,5603.0,5700.3,0,1,0,97.3,0
日本取引所グループ,8697.T,1966.0,1968.5,0,1,0,2.5,0
MS＆ADインシュアランスグループホールディングス,8725.T,4368.0,4355.6,0,0,0,-12.4,0
第一生命ホールディングス,8750.T,3022.0,3028.7,0,1,0,6.7,0
東京海上ホールディングス,8766.T,2803.0,2819.1,0,1,0,16.1,0
T＆Dホールディングス,8795.T,2168.0,2038.3,0,0,0,-129.7,0
三井不動産,8801.T,2446.0,2440.2,0,0,0,-5.8,0
三菱地所,8802.T,1626.5,1639.8,0,1,0,13.3,0
東京建物,8804.T,1585.0,1590.4,0,1,0,5.4,0
住友不動産,8830.T,3088.0,3139.6,0,1,0,51.6,0
東武鉄道,9001.T,3005.0,3035.5,0,1,0,30.5,0
東急,9005.T,1582.0,1591.3,0,1,0,9.3,0
小田急電鉄,9007.T,1620.0,1632.0,0,1,0,12.0,0
京王電鉄,9008.T,4730.0,4684.2,0,0,0,-45.8,0
京成電鉄,9009.T,3815.0,3771.6,0,0,0,-43.4,0
東日本旅客鉄道,9020.T,6902.0,6889.3,0,0,0,-12.7,0
西日本旅客鉄道,9021.T,5252.0,5213.8,0,0,0,-38.2,0
東海旅客鉄道,9022.T,15325.0,15369.4,0,1,0,44.4,0
ヤマトホールディングス,9064.T,2317.0,2275.9,0,0,0,-41.1,0
日本郵船,9101.T,3340.0,3365.4,0,1,0,25.4,0
